127.0.0.1 - - [19/Aug/2022:17:41:41 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:01 -0500] "GET /ForUs/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:01 -0500] "GET /ForUs/cssIdx/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:01 -0500] "GET /ForUs/cssIdx/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:01 -0500] "GET /ForUs/js2/popper.min.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:01 -0500] "GET /ForUs/cssIdx/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:01 -0500] "GET /ForUs/cssIdx/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:01 -0500] "GET /ForUs/js2/bootstrap.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:01 -0500] "GET /ForUs/js2/jquery-3.4.1.min.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:01 -0500] "GET /ForUs/js2/custom.js HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:01 -0500] "GET /ForUs/imgIdx/free.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:01 -0500] "GET /ForUs/imgIdx/GPlay.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:01 -0500] "GET /ForUs/imgIdx/pgIni.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:01 -0500] "GET /ForUs/imgIdx/fund.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:01 -0500] "GET /ForUs/imgIdx/app.png HTTP/1.1" 304 -
